n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,1,0.5,0.0001,False,0.6744529008865356,0.5124647617340088,0.6766406893730164,0.5135135054588318
16,1,0.8,0.01,True,0.54606032371521,0.7185783982276917,0.5595536828041077,0.7089397311210632
16,1,0.8,0.01,False,0.5220582485198975,0.7386852502822876,0.5136833190917969,0.7286902070045471
16,1,0.8,0.1,True,1.1005947589874268,0.5117228031158447,1.063219428062439,0.5041580200195312
16,1,0.8,0.1,False,6.454399585723877,0.5206261873245239,6.411749839782715,0.5239084959030151
16,1,0.8,0.001,True,0.6760113835334778,0.5284909009933472,0.6794055104255676,0.5207900404930115
16,1,0.8,0.001,False,0.6752680540084839,0.5175842046737671,0.6772887110710144,0.5202702879905701
16,1,0.8,0.0001,True,0.6778517365455627,0.5248553156852722,0.678781270980835,0.5202702879905701
16,1,0.8,0.0001,False,0.6829196214675903,0.5231488347053528,0.6848537921905518,0.512474000453949
16,2,0.0,0.01,True,0.5108274221420288,0.7401691675186157,0.5233340859413147,0.7354469895362854
16,2,0.0,0.01,False,0.48861590027809143,0.760869562625885,0.5030499696731567,0.75
16,2,0.0,0.1,True,0.6896864771842957,0.5303457379341125,0.6913866996765137,0.5285862684249878
16,2,0.0,0.1,False,0.7352874875068665,0.5,0.7352889776229858,0.5
16,2,0.0,0.001,True,0.6491344571113586,0.5146905779838562,0.6517670750617981,0.5140332579612732
16,2,0.0,0.001,False,0.6475106477737427,0.5074195265769958,0.6485694646835327,0.5088357329368591
16,2,0.0,0.0001,True,0.6882397532463074,0.5,0.688548743724823,0.5
16,2,0.0,0.0001,False,0.6820614337921143,0.49992579221725464,0.6824870109558105,0.5
16,2,0.3,0.01,True,0.5407317876815796,0.7131621837615967,0.5430848002433777,0.7032224535942078
16,2,0.3,0.01,False,0.5635737776756287,0.7239946722984314,0.5565158724784851,0.719854474067688
16,2,0.3,0.1,True,0.7412886023521423,0.5,0.7337502241134644,0.5
16,2,0.3,0.1,False,7.106691837310791,0.5,7.045529365539551,0.5
16,2,0.3,0.001,True,0.6767460107803345,0.5023742318153381,0.6769101619720459,0.5015592575073242
16,2,0.3,0.001,False,0.6688883900642395,0.5,0.6727440357208252,0.5
16,2,0.3,0.0001,True,0.6844866871833801,0.5002967715263367,0.6858811378479004,0.5
16,2,0.3,0.0001,False,0.6902294754981995,0.5014839172363281,0.6903910040855408,0.502598762512207
