n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,1,0.0,0.01,True,0.5345503091812134,0.7240189909934998,0.5305247902870178,0.7205438017845154
16,1,0.0,0.01,False,0.5541113615036011,0.7164726257324219,0.5506047606468201,0.7099697589874268
16,1,0.0,0.1,True,0.6904428005218506,0.5006468296051025,0.6909309029579163,0.5
16,1,0.0,0.1,False,0.698462188243866,0.5,0.6986158490180969,0.5
16,1,0.0,0.001,True,0.660050094127655,0.5006468296051025,0.6606033444404602,0.5
16,1,0.0,0.001,False,0.6343544125556946,0.5316947102546692,0.6354820728302002,0.5287008881568909
16,1,0.0,0.0001,True,0.6761436462402344,0.5,0.6771009564399719,0.5
16,1,0.0,0.0001,False,0.6777507662773132,0.5030185580253601,0.6798353791236877,0.5
16,1,0.3,0.01,True,0.5523355007171631,0.7134540677070618,0.5443281531333923,0.7160120606422424
16,1,0.3,0.01,False,0.5595681667327881,0.7147477269172668,0.56493079662323,0.7114803791046143
16,1,0.3,0.1,True,1.2413586378097534,0.5019404888153076,1.277716040611267,0.504531741142273
16,1,0.3,0.1,False,0.7015458345413208,0.5,0.7015499472618103,0.5
16,1,0.3,0.001,True,0.6706364750862122,0.5051746368408203,0.6720151305198669,0.504531741142273
16,1,0.3,0.001,False,0.6665750741958618,0.5064682960510254,0.669890820980072,0.504531741142273
16,1,0.3,0.0001,True,0.6744508743286133,0.5118585824966431,0.6753027439117432,0.5090634226799011
16,1,0.3,0.0001,False,0.680877149105072,0.5043122172355652,0.6809238195419312,0.5015105605125427
16,1,0.5,0.01,True,0.5583731532096863,0.7201380133628845,0.5577426552772522,0.7114803791046143
16,1,0.5,0.01,False,0.5727279782295227,0.7069857716560364,0.5679575204849243,0.7114803791046143
16,1,0.5,0.1,True,0.9696975350379944,0.501724898815155,0.9485366940498352,0.5015105605125427
16,1,0.5,0.1,False,0.816136360168457,0.5,0.8088988065719604,0.5
16,1,0.5,0.001,True,0.6710167527198792,0.5181112289428711,0.6760451793670654,0.5135951638221741
16,1,0.5,0.001,False,0.6675695776939392,0.510133683681488,0.668083906173706,0.5075528621673584
16,1,0.5,0.0001,True,0.7115691900253296,0.50043123960495,0.7147186994552612,0.5
16,1,0.5,0.0001,False,0.6798192262649536,0.5073307752609253,0.6842221021652222,0.5075528621673584
16,1,0.8,0.01,True,0.6493796706199646,0.5601552128791809,0.6653994917869568,0.5483383536338806
16,1,0.8,0.01,False,0.5636795163154602,0.6994394063949585,0.5627985000610352,0.708459198474884
16,1,0.8,0.1,True,0.9663491249084473,0.5558430552482605,0.939524233341217,0.5694863796234131
16,1,0.8,0.1,False,0.6900036334991455,0.5282449126243591,0.6819908022880554,0.5362537503242493
16,1,0.8,0.001,True,0.6746239066123962,0.5073307752609253,0.6744696497917175,0.5090634226799011
