n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,1,0.0,0.01,True,0.517572820186615,0.724526047706604,0.5203154683113098,0.7284539341926575
16,1,0.0,0.01,False,0.6839375495910645,0.5010414123535156,0.6841947436332703,0.5006543397903442
16,1,0.0,0.1,True,8.558188438415527,0.5,8.541362762451172,0.5
16,1,0.0,0.1,False,1.5750418901443481,0.5,1.5709105730056763,0.5
16,1,0.0,0.001,True,0.6502381563186646,0.5037116408348083,0.6504485607147217,0.5042998790740967
16,1,0.0,0.001,False,0.6501176953315735,0.5036582350730896,0.650492787361145,0.5036455392837524
16,1,0.0,0.0001,True,0.6792683601379395,0.5005073547363281,0.679671049118042,0.500373899936676
16,1,0.0,0.0001,False,0.6889084577560425,0.5000400543212891,0.6889464259147644,0.5001869797706604
16,1,0.3,0.01,True,0.5015936493873596,0.7354339361190796,0.5033273696899414,0.7386427521705627
16,1,0.3,0.01,False,0.5142265558242798,0.7252736687660217,0.5174026489257812,0.7301364541053772
16,1,0.3,0.1,True,3.344419479370117,0.5019893050193787,3.315483808517456,0.50271075963974
16,1,0.3,0.1,False,1.3663235902786255,0.500640869140625,1.363641381263733,0.5008412599563599
16,1,0.3,0.001,True,0.6579926609992981,0.504165530204773,0.6586084961891174,0.5037389993667603
16,1,0.3,0.001,False,0.6425725817680359,0.5067422986030579,0.6433092951774597,0.5071041584014893
16,1,0.3,0.0001,True,0.6833940148353577,0.5002937316894531,0.6835250854492188,0.5001869797706604
16,1,0.3,0.0001,False,0.69049471616745,0.5047529935836792,0.6906535029411316,0.5040194392204285
16,1,0.5,0.01,True,0.5342631936073303,0.7306408286094666,0.5348230004310608,0.7350906729698181
16,1,0.5,0.01,False,0.5215007662773132,0.7212550044059753,0.5249093770980835,0.7202280759811401
16,1,0.5,0.1,True,4.449001312255859,0.5020961165428162,4.425096035003662,0.5024303793907166
16,1,0.5,0.1,False,19.6474552154541,0.5008277893066406,19.572696685791016,0.5011216998100281
16,1,0.5,0.001,True,0.6487696170806885,0.5093991756439209,0.6497689485549927,0.5089736580848694
16,1,0.5,0.001,False,0.6678972244262695,0.5031642317771912,0.6683775782585144,0.5029911994934082
16,1,0.5,0.0001,True,0.6895821690559387,0.5004539489746094,0.6897634863853455,0.5005608797073364
16,1,0.5,0.0001,False,0.6860832571983337,0.5021628737449646,0.6861521005630493,0.5024303793907166
16,1,0.8,0.01,True,0.5047885775566101,0.7221762537956238,0.507470965385437,0.721443235874176
16,1,0.8,0.01,False,0.5319995880126953,0.7303338050842285,0.5345852375030518,0.7331277132034302
16,1,0.8,0.1,True,2.45405650138855,0.5487049221992493,2.453989028930664,0.5501962900161743
16,1,0.8,0.1,False,8.589359283447266,0.5154339075088501,8.470645904541016,0.5168255567550659
16,1,0.8,0.001,True,0.6828286647796631,0.5091989040374756,0.682921290397644,0.509160578250885
16,1,0.8,0.001,False,0.6814227104187012,0.5020026564598083,0.6816444396972656,0.502336859703064
16,1,0.8,0.0001,True,0.6836054921150208,0.5186648964881897,0.6838950514793396,0.5199102759361267
16,1,0.8,0.0001,False,0.6883524060249329,0.5035781264305115,0.6883916854858398,0.5048606991767883
16,2,0.0,0.01,True,0.4923224151134491,0.7213351130485535,0.4914094805717468,0.7250887751579285
16,2,0.0,0.01,False,0.49781709909439087,0.715527355670929,0.49666646122932434,0.7201346158981323
16,2,0.0,0.1,True,1.4663695096969604,0.5,1.4655921459197998,0.5
16,2,0.0,0.1,False,4.619186878204346,0.5,4.616610050201416,0.5
16,2,0.0,0.001,True,0.6552830338478088,0.5,0.6556605696678162,0.5
16,2,0.0,0.001,False,0.6617329716682434,0.5039118528366089,0.6621338129043579,0.5050476789474487
16,2,0.0,0.0001,True,0.6912099123001099,0.5117356181144714,0.6912386417388916,0.5107496976852417
16,2,0.0,0.0001,False,0.6904805898666382,0.5,0.6905180811882019,0.5
16,2,0.3,0.01,True,0.5033022165298462,0.7245393991470337,0.5029315948486328,0.7265844345092773
16,2,0.3,0.01,False,0.5031858086585999,0.7155006527900696,0.5022884607315063,0.7200411558151245
16,2,0.3,0.1,True,0.7853541970252991,0.5011081695556641,0.7888703346252441,0.5011216998100281
16,2,0.3,0.1,False,10.457833290100098,0.5,10.493410110473633,0.5
16,2,0.3,0.001,True,0.6672326326370239,0.5023764967918396,0.6674526929855347,0.5025238394737244
16,2,0.3,0.001,False,0.6542795896530151,0.5052069425582886,0.6547927260398865,0.5052345991134644
16,2,0.3,0.0001,True,0.6919827461242676,0.5020427107810974,0.6919915676116943,0.5020564794540405
16,2,0.3,0.0001,False,0.6878318786621094,0.5005340576171875,0.6879834532737732,0.500373899936676
16,2,0.5,0.01,True,0.6799432635307312,0.5262483358383179,0.6800845861434937,0.5253318548202515
16,2,0.5,0.01,False,0.5021196603775024,0.719078779220581,0.5020439028739929,0.7226584553718567
16,2,0.5,0.1,True,0.6998486518859863,0.5,0.6998485922813416,0.5
16,2,0.5,0.1,False,15.262212753295898,0.5,15.158651351928711,0.5
16,2,0.5,0.001,True,0.6756446957588196,0.5000133514404297,0.6755343079566956,0.5
16,2,0.5,0.001,False,0.6681708693504333,0.5022429823875427,0.668587863445282,0.503084659576416
16,2,0.5,0.0001,True,0.6798667311668396,0.5002002716064453,0.680022120475769,0.5000934600830078
16,2,0.5,0.0001,False,0.6869211196899414,0.5019893050193787,0.6870301961898804,0.5013086795806885
16,2,0.8,0.01,True,0.6592357754707336,0.5529906749725342,0.6604989767074585,0.548046350479126
16,2,0.8,0.01,False,0.5159914493560791,0.7171695828437805,0.5166611075401306,0.7191063761711121
16,2,0.8,0.1,True,3.03389835357666,0.5079038739204407,3.0891499519348145,0.5069171786308289
16,2,0.8,0.1,False,9.041187286376953,0.5097997188568115,8.957700729370117,0.5092540383338928
16,2,0.8,0.001,True,0.6817822456359863,0.5146194696426392,0.6821838617324829,0.5128995776176453
16,2,0.8,0.001,False,0.6812704205513,0.5052870512008667,0.6811174750328064,0.5042998790740967
16,2,0.8,0.0001,True,0.6931484937667847,0.5141121745109558,0.6931606531143188,0.5133669972419739
16,2,0.8,0.0001,False,0.6913226246833801,0.5082243084907532,0.691592812538147,0.5081323385238647
16,3,0.0,0.01,True,0.5022388100624084,0.7343791723251343,0.501868724822998,0.7357450127601624
16,3,0.0,0.01,False,0.4925684630870819,0.7190921306610107,0.491556316614151,0.7221910357475281
16,3,0.0,0.1,True,0.6935078501701355,0.5,0.6935079097747803,0.5
16,3,0.0,0.1,False,22.19736671447754,0.5,22.198135375976562,0.5
16,3,0.0,0.001,True,0.6675893664360046,0.5,0.6678611636161804,0.5
16,3,0.0,0.001,False,0.655019998550415,0.5010814666748047,0.6553152799606323,0.5012151598930359
16,3,0.0,0.0001,True,0.6900290250778198,0.5,0.6900749206542969,0.5
16,3,0.0,0.0001,False,0.6843482851982117,0.5010948181152344,0.6844309568405151,0.5005608797073364
16,3,0.3,0.01,True,0.5230194330215454,0.7260213494300842,0.5238528251647949,0.7270517945289612
16,3,0.3,0.01,False,0.5303975939750671,0.7209078669548035,0.5322644710540771,0.7229388952255249
16,3,0.3,0.1,True,0.9586237072944641,0.5,0.9622673988342285,0.5
16,3,0.3,0.1,False,9.515393257141113,0.5,9.492047309875488,0.5
16,3,0.3,0.001,True,0.6662014126777649,0.5040854215621948,0.6661129593849182,0.5049542188644409
16,3,0.3,0.001,False,0.6730937361717224,0.5011081695556641,0.6734793782234192,0.5012151598930359
16,3,0.3,0.0001,True,0.6929420232772827,0.5050867795944214,0.6929569840431213,0.5051411390304565
16,3,0.3,0.0001,False,0.6908610463142395,0.5054606199264526,0.6908467411994934,0.5063562989234924
16,3,0.5,0.01,True,0.5452081561088562,0.7343124151229858,0.5461957454681396,0.7306973338127136
16,3,0.5,0.01,False,0.6702703833580017,0.5136849284172058,0.6702497601509094,0.5149560570716858
16,3,0.5,0.1,True,0.6930900812149048,0.5043925046920776,0.6931195259094238,0.5043933391571045
16,3,0.5,0.1,False,3.8521595001220703,0.5095460414886475,3.8828861713409424,0.508786678314209
16,3,0.5,0.001,True,0.6708720922470093,0.5061548948287964,0.6709489226341248,0.5058889389038086
16,3,0.5,0.001,False,0.6798812747001648,0.5011081695556641,0.6804012060165405,0.5014021396636963
16,3,0.5,0.0001,True,0.6930216550827026,0.5064085721969604,0.6930246353149414,0.5061693787574768
16,3,0.5,0.0001,False,0.6928061246871948,0.502189576625824,0.6928237676620483,0.5020564794540405
16,3,0.8,0.01,True,0.6477840542793274,0.5958878397941589,0.6498854756355286,0.5942232012748718
16,3,0.8,0.01,False,0.5709539651870728,0.7200667262077332,0.5694679021835327,0.7219106554985046
16,3,0.8,0.1,True,0.7127438187599182,0.5408143997192383,0.7116943597793579,0.5418769717216492
16,3,0.8,0.1,False,0.7095018625259399,0.5,0.7093605995178223,0.4966348707675934
16,3,0.8,0.001,True,0.6917467713356018,0.5118290781974792,0.692289412021637,0.5112170577049255
16,3,0.8,0.001,False,0.6854303479194641,0.5031508803367615,0.6851559281349182,0.5038325190544128
16,3,0.8,0.0001,True,0.6931391954421997,0.5878371000289917,0.6931433081626892,0.5833800435066223
16,3,0.8,0.0001,False,0.6922487616539001,0.509906530380249,0.6916906237602234,0.5090671181678772
16,4,0.0,0.01,True,0.5577859282493591,0.7258744835853577,0.55739825963974,0.7229388952255249
16,4,0.0,0.01,False,0.6785955429077148,0.5,0.6786452531814575,0.5
16,4,0.0,0.1,True,0.6931692361831665,0.5,0.6931692957878113,0.5
16,4,0.0,0.1,False,4.407039642333984,0.5,4.4070305824279785,0.5
16,4,0.0,0.001,True,0.6677044630050659,0.5,0.6679604649543762,0.5
16,4,0.0,0.001,False,0.6660070419311523,0.5,0.6662707924842834,0.6401196718215942
16,4,0.0,0.0001,True,0.6931471228599548,0.5222563147544861,0.6931471824645996,0.5228080153465271
16,4,0.0,0.0001,False,0.6904296875,0.5,0.690467894077301,0.5
16,4,0.3,0.01,True,0.5738808512687683,0.687263011932373,0.5736099481582642,0.6831183433532715
16,4,0.3,0.01,False,0.6736644506454468,0.501975953578949,0.6734877228736877,0.50271075963974
16,4,0.3,0.1,True,0.6931605935096741,0.5,0.6931605339050293,0.5
16,4,0.3,0.1,False,37.77614974975586,0.5,37.94511413574219,0.5
16,4,0.3,0.001,True,0.6931442022323608,0.5032443404197693,0.6931442022323608,0.5034586191177368
16,4,0.3,0.001,False,0.6691361665725708,0.5000400543212891,0.6700407266616821,0.5
16,4,0.3,0.0001,True,0.6931333541870117,0.5,0.6931341290473938,0.5
16,4,0.3,0.0001,False,0.6901900172233582,0.5003070831298828,0.6901735663414001,0.5001869797706604
16,4,0.5,0.01,True,0.6484344005584717,0.5225099921226501,0.6489359736442566,0.5222471356391907
16,4,0.5,0.01,False,0.520212709903717,0.7173565030097961,0.518599808216095,0.7209758758544922
16,4,0.5,0.1,True,0.6936941742897034,0.5,0.6936995983123779,0.5
16,4,0.5,0.1,False,0.724437952041626,0.5,0.7237139940261841,0.5
16,4,0.5,0.001,True,0.686002254486084,0.49963951110839844,0.6860485672950745,0.4997195601463318
16,4,0.5,0.001,False,0.6747558116912842,0.5000133514404297,0.6751788258552551,0.5
16,4,0.5,0.0001,True,0.6931467056274414,0.5220694541931152,0.6931469440460205,0.5193493962287903
16,4,0.5,0.0001,False,0.6929737329483032,0.5074899792671204,0.6929751038551331,0.5078519582748413
16,4,0.8,0.01,True,0.6648924946784973,0.5,0.6656128168106079,0.5
16,4,0.8,0.01,False,0.6726821064949036,0.5216822624206543,0.6734097599983215,0.5197232961654663
16,4,0.8,0.1,True,0.6932144165039062,0.5257009267807007,0.6932164430618286,0.5257992148399353
16,4,0.8,0.1,False,1.1963330507278442,0.5042723417282104,1.1839431524276733,0.5045803189277649
16,4,0.8,0.001,True,0.6931453943252563,0.5862082839012146,0.6931455135345459,0.5852496027946472
16,4,0.8,0.001,False,0.6793604493141174,0.50750333070755,0.6778484582901001,0.5075715184211731
16,4,0.8,0.0001,True,0.6931254267692566,0.5312283039093018,0.6931278109550476,0.532435953617096
16,4,0.8,0.0001,False,0.692536473274231,0.5329105257987976,0.6925853490829468,0.536548912525177
16,5,0.0,0.01,True,0.5401210784912109,0.7304673194885254,0.539523184299469,0.7305103540420532
16,5,0.0,0.01,False,0.6857811212539673,0.5039652585983276,0.685804545879364,0.5041128993034363
16,5,0.0,0.1,True,0.6931473612785339,0.5,0.6931474208831787,0.5
16,5,0.0,0.1,False,21.535463333129883,0.5,21.567249298095703,0.5
16,5,0.0,0.001,True,0.6841811537742615,0.5,0.6842756271362305,0.5
16,5,0.0,0.001,False,0.6660957932472229,0.5,0.6663302779197693,0.5
16,5,0.0,0.0001,True,0.6917859315872192,0.5,0.6917940378189087,0.5
16,5,0.0,0.0001,False,0.6905444264411926,0.5,0.6905633211135864,0.5
16,5,0.3,0.01,True,0.6931472420692444,0.5,0.6931474208831787,0.5
16,5,0.3,0.01,False,0.5127146244049072,0.7240587472915649,0.5135719180107117,0.7245279550552368
16,5,0.3,0.1,True,0.6931768655776978,0.5,0.6931799650192261,0.5
16,5,0.3,0.1,False,44.414608001708984,0.5009479522705078,44.283992767333984,0.5015890598297119
16,5,0.3,0.001,True,0.6931473612785339,0.5,0.6931474208831787,0.5
16,5,0.3,0.001,False,0.6706594228744507,0.5,0.6712813377380371,0.5
16,5,0.3,0.0001,True,0.693117618560791,0.5,0.6931187510490417,0.5
16,5,0.3,0.0001,False,0.692633867263794,0.5,0.692650318145752,0.5
16,5,0.5,0.01,True,0.6916261911392212,0.5,0.6923954486846924,0.5
16,5,0.5,0.01,False,0.5356237888336182,0.7157142758369446,0.5347583293914795,0.7184520363807678
16,5,0.5,0.1,True,0.6931474208831787,0.5,0.6931476593017578,0.5
16,5,0.5,0.1,False,2.2351582050323486,0.5022162795066833,2.2874932289123535,0.5025238394737244
16,5,0.5,0.001,True,0.6931473612785339,0.5,0.6931474208831787,0.5
16,5,0.5,0.001,False,0.680743932723999,0.5000534057617188,0.6815304160118103,0.5
16,5,0.5,0.0001,True,0.6931471228599548,0.5397196412086487,0.6931477189064026,0.539633572101593
