n_hidden,n_layers,dropout,lr,bottleneck,train loss,train accuracy,val loss,val accuracy
16,1,0.0,0.01,True,0.41892749071121216,0.7678125500679016,0.41810569167137146,0.7717735171318054
16,1,0.0,0.01,False,0.4017850160598755,0.8027477264404297,0.40092459321022034,0.8066611289978027
16,1,0.0,0.1,True,21.707313537597656,0.5,21.8103084564209,0.5
16,1,0.0,0.1,False,6.436489105224609,0.5,6.469226360321045,0.5
16,1,0.0,0.001,True,0.6537273526191711,0.5058046579360962,0.6543349027633667,0.5074937343597412
16,1,0.0,0.001,False,0.6403408646583557,0.506482720375061,0.6410937905311584,0.5060782432556152
16,1,0.0,0.0001,True,0.6862201690673828,0.5007017850875854,0.6867417693138123,0.5007493495941162
16,1,0.0,0.0001,False,0.6882656216621399,0.5,0.6886494159698486,0.5
16,1,0.3,0.01,True,0.49668049812316895,0.7325443029403687,0.49496227502822876,0.7328059673309326
16,1,0.3,0.01,False,0.43249356746673584,0.7412513494491577,0.4311804473400116,0.7428809404373169
16,1,0.3,0.1,True,9.947847366333008,0.5,9.982385635375977,0.5
16,1,0.3,0.1,False,11.564019203186035,0.5,11.614779472351074,0.5
16,1,0.3,0.001,True,0.6429358720779419,0.5030093789100647,0.6434856653213501,0.5024146437644958
16,1,0.3,0.001,False,0.6437166333198547,0.5143213868141174,0.6445077061653137,0.5154038071632385
16,1,0.3,0.0001,True,0.6832468509674072,0.5,0.6842758059501648,0.5
16,1,0.3,0.0001,False,0.688087522983551,0.5005709528923035,0.6882673501968384,0.5007493495941162
16,1,0.5,0.01,True,0.42373859882354736,0.7536933422088623,0.4219965934753418,0.7549542188644409
16,1,0.5,0.01,False,0.46804001927375793,0.7273105978965759,0.4670945703983307,0.7291423678398132
16,1,0.5,0.1,True,3.529906988143921,0.5,3.550111770629883,0.5000832676887512
16,1,0.5,0.1,False,7.4876790046691895,0.5055192112922668,7.56286096572876,0.505994975566864
16,1,0.5,0.001,True,0.6660990118980408,0.5059236288070679,0.6668388843536377,0.5049958229064941
16,1,0.5,0.001,False,0.6519483327865601,0.5032116174697876,0.6526100635528564,0.5034970641136169
16,1,0.5,0.0001,True,0.6912031769752502,0.5248959064483643,0.6912524104118347,0.5265612006187439
16,1,0.5,0.0001,False,0.6884278655052185,0.50235515832901,0.6886509656906128,0.5031640529632568
16,1,0.8,0.01,True,0.43647968769073486,0.774985134601593,0.4373546838760376,0.7746877670288086
16,1,0.8,0.01,False,0.49794715642929077,0.749423086643219,0.4987815022468567,0.7464612722396851
16,1,0.8,0.1,True,10.605463027954102,0.5028666853904724,10.715654373168945,0.5024979114532471
16,1,0.8,0.1,False,9.324914932250977,0.5027952790260315,9.290458679199219,0.5033305287361145
16,1,0.8,0.001,True,0.6682373881340027,0.5101343989372253,0.6687226295471191,0.5094920992851257
16,1,0.8,0.001,False,0.6850653886795044,0.5014987587928772,0.6854854226112366,0.5011656880378723
16,1,0.8,0.0001,True,0.6897780299186707,0.5103484988212585,0.6906940937042236,0.5111573934555054
16,1,0.8,0.0001,False,0.6867698431015015,0.5088854432106018,0.6879412531852722,0.5080766081809998
16,2,0.0,0.01,True,0.5164561867713928,0.7523492574691772,0.5133637189865112,0.7497918605804443
16,2,0.0,0.01,False,0.45536914467811584,0.7269893884658813,0.45457741618156433,0.7287260890007019
16,2,0.0,0.1,True,0.8302540183067322,0.5,0.8324036598205566,0.5
16,2,0.0,0.1,False,1.747594952583313,0.5,1.7563260793685913,0.5
16,2,0.0,0.001,True,0.6484991908073425,0.5014630556106567,0.6491875052452087,0.5011656880378723
16,2,0.0,0.001,False,0.6477794647216797,0.5058998465538025,0.6484515070915222,0.5069109201431274
16,2,0.0,0.0001,True,0.6841667294502258,0.5,0.6846107840538025,0.5
16,2,0.0,0.0001,False,0.6811961531639099,0.500261664390564,0.68158358335495,0.5001665353775024
16,2,0.3,0.01,True,0.4649434983730316,0.724610447883606,0.46446311473846436,0.7258118391036987
16,2,0.3,0.01,False,0.4606133699417114,0.7267872095108032,0.45967862010002136,0.7286428213119507
16,2,0.3,0.1,True,6.6083269119262695,0.5,6.6266913414001465,0.5
16,2,0.3,0.1,False,4.526106834411621,0.5013917088508606,4.561151504516602,0.5017485618591309
16,2,0.3,0.001,True,0.6567209959030151,0.5055311322212219,0.6578028202056885,0.5064113140106201
16,2,0.3,0.001,False,0.6585587859153748,0.5014749765396118,0.6593005061149597,0.5010824203491211
16,2,0.3,0.0001,True,0.6902272701263428,0.5000594854354858,0.690376341342926,0.5001665353775024
16,2,0.3,0.0001,False,0.6924412250518799,0.5001070499420166,0.6925212740898132,0.5003330707550049
16,2,0.5,0.01,True,0.4765312671661377,0.7335910797119141,0.477725625038147,0.7352206707000732
16,2,0.5,0.01,False,0.4761050045490265,0.7266563773155212,0.4743979275226593,0.7283097505569458
16,2,0.5,0.1,True,2.908660411834717,0.5100035667419434,2.9118242263793945,0.5108243227005005
16,2,0.5,0.1,False,22.752174377441406,0.501546323299408,22.779651641845703,0.501415491104126
16,2,0.5,0.001,True,0.6800140738487244,0.5016058087348938,0.6807844042778015,0.5010824203491211
16,2,0.5,0.001,False,0.6773953437805176,0.5036873817443848,0.6779059767723083,0.5040799379348755
16,2,0.5,0.0001,True,0.6865845918655396,0.508159875869751,0.6867384314537048,0.509575366973877
16,2,0.5,0.0001,False,0.6912356615066528,0.5007969737052917,0.6913958191871643,0.5009158849716187
16,2,0.8,0.01,True,0.5067601203918457,0.7269537448883057,0.5060625076293945,0.7296419739723206
16,2,0.8,0.01,False,0.6403535008430481,0.5302485823631287,0.6425027251243591,0.5295587182044983
16,2,0.8,0.1,True,6.502983570098877,0.5175449252128601,6.629286289215088,0.5164862871170044
16,2,0.8,0.1,False,0.9663195610046387,0.5040323734283447,0.9674968719482422,0.5046627521514893
16,2,0.8,0.001,True,0.6786113977432251,0.5120851397514343,0.6785282492637634,0.5136553049087524
16,2,0.8,0.001,False,0.6745039224624634,0.5063994526863098,0.6755678653717041,0.5064945816993713
16,2,0.8,0.0001,True,0.6909558773040771,0.5107053518295288,0.6909416317939758,0.51348876953125
16,2,0.8,0.0001,False,0.6929155588150024,0.522445559501648,0.6929371953010559,0.5258118510246277
16,3,0.0,0.01,True,0.46785980463027954,0.7275603413581848,0.4677194356918335,0.7296419739723206
16,3,0.0,0.01,False,0.4716360867023468,0.7271559238433838,0.4707311689853668,0.7293089032173157
16,3,0.0,0.1,True,0.6933107376098633,0.5,0.6933108568191528,0.5
16,3,0.0,0.1,False,0.6996786594390869,0.5,0.7007576823234558,0.5
16,3,0.0,0.001,True,0.6514337658882141,0.5248721241950989,0.6523010730743408,0.5251457095146179
16,3,0.0,0.001,False,0.6650882363319397,0.5,0.6658666133880615,0.7520399689674377
16,3,0.0,0.0001,True,0.6886705160140991,0.5,0.6887950897216797,0.5
16,3,0.0,0.0001,False,0.6779095530509949,0.500130832195282,0.6784286499023438,0.5001665353775024
16,3,0.3,0.01,True,0.4933260977268219,0.7267990708351135,0.4911814332008362,0.7288925647735596
16,3,0.3,0.01,False,0.4674079120159149,0.728523850440979,0.4658166468143463,0.7317235469818115
