train_loss,train_acc,val_loss,val_acc
0.6926736235618591,0.5,0.6993074417114258,0.5
0.6759160757064819,0.499888151884079,0.6776454448699951,0.4992162883281708
0.6800838112831116,0.5019015669822693,0.6809719800949097,0.503918468952179
0.6785603761672974,0.5208053588867188,0.67954421043396,0.5164576768875122
0.6730394959449768,0.5170022249221802,0.6746060848236084,0.5094043612480164
0.664082944393158,0.5053691267967224,0.6668909788131714,0.5023511052131653
0.6583682298660278,0.5049216747283936,0.66285240650177,0.5023511052131653
0.6561870574951172,0.5049216747283936,0.661810040473938,0.5023511052131653
0.64996337890625,0.5090603828430176,0.6552261114120483,0.5062695741653442
0.6426711678504944,0.5152125358581543,0.6468439102172852,0.5109717845916748
0.6372562050819397,0.523601770401001,0.6409560441970825,0.5164576768875122
0.6281358599662781,0.5286353230476379,0.6318683624267578,0.5242946743965149
0.6196156740188599,0.5430648922920227,0.6235939264297485,0.5454545617103577
0.6120828986167908,0.5741610527038574,0.6159402132034302,0.5705329179763794
0.6013148427009583,0.6102908253669739,0.6046910881996155,0.6089341640472412
0.5932707786560059,0.6694630980491638,0.5965477228164673,0.6700627207756042
0.5836707353591919,0.6808724999427795,0.5870025753974915,0.6763322949409485
0.574584424495697,0.6832214593887329,0.5779095888137817,0.6778996586799622
0.5667403936386108,0.6893736124038696,0.5703433156013489,0.6904388666152954
0.5582072734832764,0.699776291847229,0.5628015398979187,0.7014106512069702
0.5527141690254211,0.7031319737434387,0.5587435960769653,0.7045454382896423
0.5461925864219666,0.7025727033615112,0.5526705384254456,0.7037617564201355
0.5434117913246155,0.7024608254432678,0.5504814982414246,0.7037617564201355
0.5404152870178223,0.708724856376648,0.5496077537536621,0.7084639668464661
0.5405558347702026,0.7114093899726868,0.5524469017982483,0.7108150720596313
0.5394170880317688,0.7110738158226013,0.5517971515655518,0.7092476487159729
0.5398615002632141,0.7153244018554688,0.5525262355804443,0.712382435798645
0.5384419560432434,0.7153244018554688,0.5527797341346741,0.7115987539291382
